time,H_CENTER,H_UPGRADIENT,H_DOWNGRADIENT
1.000000000000,4.444453164701348,7.777787340279173,1.111112319453582
2.000000000000,1.760275834315168,7.246378561038231,.7550050602536542
3.000000000000,1.681905088696187,7.203281655480699,.7299325027940182
4.000000000000,1.676834876032483,7.200073893279416,.7281618178270524
5.000000000000,1.676629095909160,7.199919129675644,.7281019932498116
6.000000000000,1.676585102873329,7.199900605928664,.7280910929273634
7.000000000000,1.676512580909479,7.199849574692678,.7280536111086477
8.000000000000,1.676492138844380,7.199839368219110,.7280535060366486
9.000000000000,1.676461966976853,7.199818275697798,.7280425061166641
10.00000000000,1.676453217623396,7.199813646806970,.7280403034757318
11.00000000000,1.676439980711802,7.199804496585585,.7280350319355654
12.00000000000,1.676436048237591,7.199802356741885,.7280341445079153
13.00000000000,1.676430166806966,7.199798325552106,.7280319281891123
14.00000000000,1.676428373119280,7.199797315280191,.7280314526553128
15.00000000000,1.676425713465632,7.199795504958737,.7280304558084761
16.00000000000,1.676424880562318,7.199795025173922,.7280302251299224
17.00000000000,1.676423662941552,7.199794200758513,.7280297751345850
18.00000000000,1.676423270839796,7.199793970558294,.7280296613932438
19.00000000000,1.676422706699552,7.199793590424872,.7280294546790960
20.00000000000,1.676422519945614,7.199793479056870,.7280293988108127
21.00000000000,1.676422255872382,7.199793301856407,.7280293027680880
22.00000000000,1.676422166021234,7.199793247555665,.7280292752299437
23.00000000000,1.676422041252779,7.199793164158699,.7280292301202131
24.00000000000,1.676421997642649,7.199793137491188,.7280292165036177
25.00000000000,1.676421938199250,7.199793097906325,.7280291951155334
26.00000000000,1.676421916867015,7.199793084721862,.7280291883575671
27.00000000000,1.676421888336409,7.199793065792332,.7280291781318478
28.00000000000,1.676421877826582,7.199793059232081,.7280291747644035
29.00000000000,1.676421864050424,7.199793050125535,.7280291698420643
30.00000000000,1.676421858834196,7.199793046838828,.7280291681556572
31.00000000000,1.676421852164531,7.199793042446472,.7280291657782815
32.00000000000,4.360590694271468,7.731192452989343,1.084135275585466
33.00000000000,4.438961206605118,7.774289164492390,1.109207773288643
34.00000000000,4.444031408967501,7.777496919346300,1.110978455145964
35.00000000000,4.444237188285158,7.777651682519290,1.111038279398814
36.00000000000,4.444281181473933,7.777670206321408,1.111049179781809
37.00000000000,4.444353703539612,7.777721237666118,1.111086661593635
38.00000000000,4.444374145690002,7.777731444172256,1.111086766702360
39.00000000000,4.444404317678385,7.777752536791136,1.111097766691700
40.00000000000,4.444413067072774,7.777757165694902,1.111099969329492
41.00000000000,4.444426304036020,7.777766315957739,1.111105240890549
42.00000000000,4.444430236529788,7.777768455808009,1.111106128321826
43.00000000000,4.444436117984730,7.777772487017457,1.111108344651353
44.00000000000,4.444437911681783,7.777773497292376,1.111108820186695
45.00000000000,4.444440571346533,7.777775307622911,1.111109817038175
46.00000000000,4.444441404254375,7.777775787409174,1.111110047717657
47.00000000000,4.444442621880305,7.777776611828854,1.111110497715143
48.00000000000,4.444443013984264,7.777776842029771,1.111110611456965
49.00000000000,4.444443578126929,7.777777222165222,1.111110818172109
50.00000000000,4.444443764881949,7.777777333533558,1.111110874040641
51.00000000000,4.444444028956319,7.777777510734993,1.111110970083834
52.00000000000,4.444444118808000,7.777777565035896,1.111110997622105
53.00000000000,4.444444243577002,7.777777648433337,1.111111042732058
54.00000000000,4.444444287187395,7.777777675100926,1.111111056348718
55.00000000000,4.444444346631055,7.777777714686009,1.111111077736909
56.00000000000,4.444444367963420,7.777777727870513,1.111111084494908
57.00000000000,4.444444396494156,7.777777746800158,1.111111094720680
58.00000000000,4.444444407004049,7.777777753360430,1.111111098088140
59.00000000000,4.444444420780267,7.777777762467032,1.111111103010504
60.00000000000,4.444444425996528,7.777777765753748,1.111111104696920
61.00000000000,4.444444432666224,7.777777770146131,1.111111107074307
